Keyword,Type,Commentxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,Suitable default,Example values,Data model meta member name,Notes,Used by ASN generator
,,,,,,,
,,,,,,,
TELESCOP,str,Telescope used to acquire the data,'JWST',,model.meta.telescope,,
,,,,,,,
INSTRUME,str,Instrument used to acquire the data,,"FGS, MIRI, NIRCAM, NIRISS, NIRSPEC",model.meta.instrument.name,,Y
DETECTOR,str,Name of detector used to acquire the data,,"GUIDER1, NRCA1, NRCBLONG, MIRIMAGE, MIRIFUSHORT, NRS1, NIS, É",model.meta.instrument.detector,,Y
FILTER,str,Name of the filter element used,,"CLEAR, F070LP, P750L, GR150C, É",model.meta.instrument.filter,,Y
DATE-OBS,str,UTC date at start of exposure (yyyy-mm-dd),'2016-01-20',,model.meta.observation.date,Vital for CRDS ref file selection,
TIME-OBS,str,UTC time at start of exposure (hh:mm:ss.ssss),'01:02:03.000',,model.meta.observation.time,Vital for CRDS ref file selection,
EXP_TYPE,str,Type of data in the exposure,,"MIR_IMAGE, MIR_LRS-FIXEDSLIT, MIR_MRS, NIS_IMAGE, NIS_SOSS, NIS_WFSS, NRC_IMAGE, NRC_GRISM, NRS_FIXEDSLIT, NRS_IFU, MRS_MSASPEC",model.meta.exposure.type,,Y
READPATT,str,Readout pattern,,"DEEP8, FAST, NISRAPID, NRS, NRSIRS2RAPID, RAPID, SLOW",model.meta.exposure.readpatt,,
NINTS,int,Number of integrations in exposure,,"1, 2, 3, É",model.meta.exposure.nints,,
NGROUPS,int,Number of groups per integration,,"1, 2, 3, É",model.meta.exposure.ngroups,,
NFRAMES,int,Number of frames per group,1,"1, 2, 4, 8, É",model.meta.exposure.nframes,,
GROUPGAP,int,Number of frames dropped between groups,0,"1, 2, 3, É",model.meta.exposure.groupgap,,
TGROUP,flt,Time between groups (sec),,53.6838,model.meta.exposure.group_time,,
TFRAME,flt,Time between frames (sec),,10.73676,model.meta.exposure.frame_time,,
SUBARRAY,str,Subarray used,,"FULL, ALLSLITS, MASKLYOT, SUB160, SUBPRISM, S200B1, É",model.meta.subarray.name,,Y
SUBSTRT1,int,Starting pixel in axis 1 direction,,1,model.meta.subarray.xstart,1-indexed in DMS science frame,
SUBSTRT2,int,Starting pixel in axis 2 direction,,1,model.meta.subarray.ystart,1-indexed in DMS science frame,
SUBSIZE1,int,Number of pixels in axis 1 direction,=NAXIS1,2048,model.meta.subarray.xsize,,
SUBSIZE2,int,Number of pixels in axis 2 direction,=NAXIS2,2048,model.meta.subarray.ysize,,
TARGNAME,str,Standard astronomical catalog name for target,,"Jupiter, M31, 2MASS-J00243075-6635527",model.meta.target.catalog_name,,
,,,,,,,
PUPIL,str,Name of the pupil element used,,"CLEARP, F090W, MASKBAR, NRM, WLP8, É",model.meta.instrument.pupil,NIRCam,Y
,,,,,,,
,,,,,,NIRISS,
GRATING,str,Name of the grating element used,,"G140M, G235H, PRISM, MIRROR, É",model.meta.instrument.grating,NIRSpec,Y
BAND,str,MRS wavelength band,,"SHORT, MEDIUM, LONG",model.meta.instrument.band,MIRI MRS,
CHANNEL,str,Instrument channel,,"NIRCam: 'SHORT', 'LONG'",model.meta.instrument.channel,NIRCam,
,,,,"MIRI MRS: '12', '34'",,,
,,,,,,MIRI MRS,
