Keyword,Type,Comment,Suitable default,Example values,Data model meta member name,Notes,Used by ASN generator
FILENAME,str,Name of the file,,jw90001001001_02101_00001_nis_uncal.fits,model.meta.filename,Data model will populate if not given,
DATAMODL,str,Type of data model,'RampModel',"RampModel, MIRIRampModel, ImageModel",model.meta.model_type,Data model will attempt to determine model type if not given,
FXD_SLIT,str,Name of fixed slit aperture used,null string,"S200A1, S200A2, S200B1, S400A1, S1600A1",model.meta.instrument.fixed_slit,NIRSpec fixedslit,Y
,,,,,,,
,,,,,,Only used by asn_generator.,
WFSVISIT,str,Wavefront sensing and control visit indicator,null string,"SENSING_CONTROL, SENSING_ONLY",model.meta.visit.wfs_visit_indicator,Only used by asn_generator,Y
,,,,,,,
PATTTYPE,str,Primary dither pattern type,'NONE',"CYCLING, POINT_SOURCE, FULL, INTRASCA, É",model.meta.dither.primary_type,MIRI and NIRCam,Y
,,,,,,,
,,,,,,Only used by asn_generator,
SRCTYPE,str,Advised source type (point/extended),'UNKNOWN',"POINT, EXTENDED, UNKNOWN",model.meta.target.source_type,src_type step will populate if not given,
